# name, ra, dec, redshift, major axis, axis ratio, position angle, frequency, refcode 
IC 4619, 251.04633, 17.75918, 0.034427, 24.4, 0.82, 70.0, 138000000000000.0,  20032MASX.C.......:  
NGC 6210, 251.12282, 23.79986, 4.7e-05, 2.44, 0.82, 98.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 6219, 251.59379, 9.03782, 0.031565, 28.4, 0.98, 75.0, 138000000000000.0,  20032MASX.C.......:  
IC 4608, 251.72555, -77.48865, 0.009767, 51.8, 0.34, 80.0, 138000000000000.0,  20032MASX.C.......:  
NGC 6220, 251.80537, -0.27538, 0.023026, 70.2, 0.6, 125.0, 138000000000000.0,  20032MASX.C.......:  
NGC 6228, 252.01119, 26.21352, 0.03419, 6.77, 0.53, 144.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 6224, 252.07717, 6.31221, 0.030111, 50.4, 0.82, 140.0, 138000000000000.0,  20032MASX.C.......:  
NGC 6225, 252.08995, 6.2228, 0.032779, 47.0, 0.8, 155.0, 138000000000000.0,  20032MASX.C.......:  
IC 4620, 252.12544, 19.30536, 0.034625, 2.97, nan, nan, 477000000000000.0,  2005SDSS4.C...0000:  
NGC 6233, 252.56542, 23.57982, 0.036061, 7.03, 0.66, 27.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 6230 NED01, 252.67814, 4.6051, 0.033236, 23.8, 0.82, 100.0, 138000000000000.0,  20032MASX.C.......:  
NGC 6230 NED02, 252.69459, 4.60465, 0.030955, 37.0, 0.74, 55.0, 138000000000000.0,  20032MASX.C.......:  
IC 4621, 252.71324, 8.78382, 0.031542, 29.4, 0.88, 120.0, 138000000000000.0,  20032MASX.C.......:  
IC 4623, 252.77223, 22.52742, 0.031995, 6.21, 0.49, 108.0, 477000000000000.0,  2005SDSS4.C...0000:  
NGC 6215, 252.77836, -58.99317, 0.005217, 112.6, 0.66, 56.0, 138000000000000.0,  2003AJ....125..525J  
IC 4624, 252.88954, 17.44917, 0.054009, 16.0, 0.82, 135.0, 138000000000000.0,  20032MASX.C.......:  
NGC 6234, 252.98897, 4.38363, 0.031772, 37.0, 0.88, 40.0, 138000000000000.0,  20032MASX.C.......:  
NGC 6243, 253.10952, 23.3327, 0.035814, 9.29, 0.59, 153.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 6221, 253.19208, -59.21778, 0.004999, 197.0, 0.65, 178.0, 138000000000000.0,  2003AJ....125..525J  
NGC 6215A, 253.20605, -58.94799, 0.009653, 82.0, 0.34, 5.0, 138000000000000.0,  20032MASX.C.......:  
NGC 6240, 253.24529, 2.40093, 0.024307, -99.99, -99.99, -99.99, -99.99, -- 
NGC 6240 NED02, 253.24552, 2.40133, 0.025421, -99.99, -99.99, -99.99, -99.99, -- 
IC 4627, 253.5363, -7.63536, 0.034657, 45.0, 0.54, 65.0, 138000000000000.0,  20032MASX.C.......:  
NGC 6255, 253.69986, 36.50094, 0.003065, 49.8, 0.22, 110.0, 138000000000000.0,  20032MASX.C.......:  
NGC 6209, 253.74025, -72.58664, 0.019564, 100.8, 0.58, 0.0, 138000000000000.0,  20032MASX.C.......:  
IC 4630, 253.79001, 26.6629, 0.034611, 2.52, 0.66, 178.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 6257, 254.01428, 39.64561, 0.015641, 8.17, 0.26, 121.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 6261, 254.12717, 27.97752, 0.035184, 6.12, 0.56, 83.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 6263, 254.18008, 27.8221, 0.034404, 4.67, 0.96, 119.0, 477000000000000.0,  2007SDSS6.C...0000:  
WISEA J165657.94+275449.5, 254.24142, 27.91375, 0.03318, 11.8, 0.72, 35.0, 138000000000000.0,  20032MASX.C.......:  
NGC 6264, 254.3172, 27.8496, 0.03384, 7.41, 0.57, 33.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 6265, 254.37132, 27.84428, 0.032452, 37.6, 0.68, 40.0, 138000000000000.0,  20032MASX.C.......:  
IC 4618, 254.45881, -76.99292, 0.009994, 105.2, 0.34, 65.0, 138000000000000.0,  20032MASX.C.......:  
NGC 6269, 254.4921, 27.8544, 0.034801, -99.99, -99.99, -99.99, -99.99, -- 
NGC 6267, 254.53611, 22.98515, 0.00994, 13.98, 0.77, 33.0, 477000000000000.0,  2007SDSS6.C...0000:  
IC 1236, 254.62333, 20.04146, 0.020087, 11.06, 0.9, 156.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 6270, 254.68359, 27.85917, 0.032422, 31.4, 0.66, 95.0, 138000000000000.0,  20032MASX.C.......:  
NGC 6271, 254.71114, 27.96501, 0.035164, 31.4, 0.84, 20.0, 138000000000000.0,  20032MASX.C.......:  
WISEA J165852.42+273941.7, 254.71842, 27.66161, 0.032192, 13.6, 0.76, 25.0, 138000000000000.0,  20032MASX.C.......:  
NGC 6272, 254.74282, 27.93085, 0.035094, 27.0, 0.6, 165.0, 138000000000000.0,  20032MASX.C.......:  
NGC 6274, 254.8355, 29.94661, 0.039427, 60.0, 0.5, nan, 740000000000000.0,  1973UGC...C...0000N  
NGC 6276, 255.18781, 23.04408, 0.009113, 4.87, 0.83, 125.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 6282, 255.19637, 29.82061, 0.035154, 8.0, 0.71, 40.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 6278, 255.20971, 23.01104, 0.009447, -99.99, -99.99, -99.99, -99.99, -- 
IC 4638, 255.30708, 33.51321, 0.037424, 2.87, 0.92, 69.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 6280 NED01, 255.48936, 6.66607, 0.031115, 33.6, 0.72, 145.0, 138000000000000.0,  20032MASX.C.......:  
IC 4639, 255.72814, 22.93008, 0.057415, 3.63, 0.78, 143.0, 477000000000000.0,  2007SDSS6.C...0000:  
IC 1242, 257.17863, 4.05002, 0.022452, 40.2, 0.56, 115.0, 138000000000000.0,  20032MASX.C.......:  
NGC 6296, 257.18533, 3.89413, 0.022459, 48.4, 0.7, 135.0, 138000000000000.0,  20032MASX.C.......:  
IC 1244, 257.64032, 36.30341, 0.027273, 48.6, 0.92, 130.0, 138000000000000.0,  20032MASX.C.......:  
NGC 6308, 257.99871, 23.3801, 0.029402, 10.27, 0.83, 150.0, 477000000000000.0,  2007SDSS6.C...0000:  
IC 1245, 258.1525, 38.0204, 0.037362, 7.46, 0.67, 122.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 6314, 258.16119, 23.27012, 0.022073, 7.15, 0.53, 175.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 6315, 258.19228, 23.22354, 0.02231, 7.1, 0.76, 104.0, 477000000000000.0,  2007SDSS6.C...0000:  
IC 4633, 258.44604, -77.53614, 0.0098, 130.0, 0.7, 170.0, 138000000000000.0,  20032MASX.C.......:  
NGC 6321, 258.60099, 20.31401, 0.020764, 63.4, 0.46, 95.0, 138000000000000.0,  20032MASX.C.......:  
IC 1249, 258.72966, 35.52011, 0.037376, -99.99, -99.99, -99.99, -99.99, -- 
IC 4635, 258.91337, -77.48968, 0.009833, 117.2, 0.3, 160.0, 138000000000000.0,  20032MASX.C.......:  
NGC 6330, 258.935, 29.40431, 0.028997, 10.59, 0.31, 173.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 6300, 259.24812, -62.82056, 0.003699, -99.99, -99.99, -99.99, -99.99, -- 
NGC 6305, 259.50381, -59.17214, 0.008943, 78.2, 0.58, 135.0, 138000000000000.0,  20032MASX.C.......:  
NGC 6349, 259.77727, 36.06094, 0.038513, 3.96, 0.48, 79.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 6351 NED02, 259.79859, 36.06101, 0.037884, 1.15, 0.71, 49.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 6347, 259.97793, 16.66068, 0.020491, 57.2, 0.6, 90.0, 138000000000000.0,  20032MASX.C.......:  
IC 1255, 260.77247, 12.69554, 0.030481, 49.6, 0.5, 15.0, 138000000000000.0,  20032MASX.C.......:  
NGC 6328, 260.92096, -65.01017, 0.014428, -99.99, -99.99, -99.99, -99.99, -- 
IC 1256, 260.94729, 26.48669, 0.015794, 49.6, 0.56, 90.0, 138000000000000.0,  20032MASX.C.......:  
IC 4646, 260.97158, -59.99948, 0.010577, 99.0, 0.66, 5.0, 138000000000000.0,  20032MASX.C.......:  
IC 4640, 260.99216, -80.06411, 0.016161, 31.8, 0.64, 120.0, 138000000000000.0,  20032MASX.C.......:  
IC 4641, 261.04372, -80.14748, 0.017792, 50.4, 0.52, 75.0, 138000000000000.0,  20032MASX.C.......:  
NGC 6364, 261.11382, 29.39023, 0.022929, 53.0, 0.9, 20.0, 138000000000000.0,  20032MASX.C.......:  
IC 4644, 261.15416, -73.94018, 0.016372, 55.8, 0.24, 135.0, 138000000000000.0,  20032MASX.C.......:  
NGC 6367, 261.28756, 37.7599, 0.026442, 4.46, 0.76, 148.0, 477000000000000.0,  2007SDSS6.C...0000:  
IC 4647, 261.5155, -80.19513, 0.016601, 43.4, 0.76, 145.0, 138000000000000.0,  20032MASX.C.......:  
IC 4652, 261.61147, -59.72779, 0.013556, 53.4, 0.44, 10.0, 138000000000000.0,  20032MASX.C.......:  
IC 4653, 261.77904, -60.87912, 0.006404, 64.0, 0.64, 45.0, 138000000000000.0,  20032MASX.C.......:  
NGC 6368, 261.79816, 11.54365, 0.00922, 105.2, 0.36, 50.0, 138000000000000.0,  20032MASX.C.......:  
NGC 6371, 261.83594, 26.50522, 0.021385, 39.4, 0.6, 165.0, 138000000000000.0,  20032MASX.C.......:  
NGC 6372, 261.88277, 26.47505, 0.015841, 8.72, 0.78, 74.0, 477000000000000.0,  2007SDSS6.C...0000:  
UGC 10862, 262.0373, 7.42241, 0.005629, 54.2, 0.26, 35.0, 138000000000000.0,  20032MASX.C.......:  
NGC 6375, 262.34113, 16.20669, 0.020564, 70.2, 0.86, 145.0, 138000000000000.0,  20032MASX.C.......:  
NGC 6379, 262.64542, 16.28875, 0.019927, 37.0, 0.84, 40.0, 138000000000000.0,  20032MASX.C.......:  
NGC 6378, 262.67484, 6.28212, 0.022315, 58.2, 0.68, 10.0, 138000000000000.0,  20032MASX.C.......:  
NGC 6384, 263.10118, 7.06049, 0.005554, 199.2, 0.74, 23.0, 138000000000000.0,  2003AJ....125..525J  
NGC 6389, 263.16573, 16.40183, 0.010392, 91.2, 0.68, 135.0, 138000000000000.0,  20032MASX.C.......:  
IC 4654, 264.28254, -74.38141, 0.017242, 108.8, 0.52, 95.0, 138000000000000.0,  20032MASX.C.......:  
IC 4656, 264.43408, -63.72959, 0.015721, 101.0, 0.28, 90.0, 138000000000000.0,  20032MASX.C.......:  
