

Results from query to  NASA/IPAC Extragalactic Database (NED),
which is funded by the National Aeronautics and Space Administration.
and operated by the California Institute of Technology.


queryDateTime:2025-01-24T13:46:59PST



Main Information Table for All Sky, chosen by params



Equinox:J2000.0



CoordSystem:Equatorial

No.|Object Name|RA|DEC|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Separation|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
129|NGC 0066|  4.77056 | -22.93631 |G|  7604| 0.025364 |SUN |14.21|  0.000|43|2|44|16|12|17|0
130|NGC 0075|  4.85980 |   6.44937 |G|  5800| 0.019347 |SUN |14.22|  0.000|22|1|33|9|5|7|0
131|NGC 0076|  4.90746 |  29.93387 |G|  7327| 0.024440 |UUN |13.99|  0.000|79|1|54|22|12|7|0
132|IC 0009|  4.93327 | -14.12192 |G| 12622| 0.042102 |SUN |15.42|  0.000|25|0|36|11|8|3|0
133|IC 1540|  4.95315 |  23.77265 |G|  5822| 0.019420 |S1L |14.91|  0.000|38|1|39|12|10|7|0
134|NGC 0077|  5.00686 | -22.53206 |G| 18906| 0.063064 |SUN |15.67|  0.000|11|2|42|9|4|13|0
135|IC 1541|  5.00819 |  21.99977 |G|  5926| 0.019767 |SUN |15.5 |  0.000|19|0|36|9|6|2|0
136|IC 0012|  5.06279 |  -2.65325 |G|  6044| 0.020161 |S1L |14.97|  0.000|27|1|43|10|8|4|0
137|IC 0013|  5.08373 |   7.70068 |G|  5711| 0.019050 |SUN |14.73|  0.000|49|1|47|18|13|7|0
138|NGC 0078A|  5.10747 |   0.82629 |G|  5073| 0.016921 |SLS |14.8g|  0.000|74|3|108|29|29|16|0
139|NGC 0078B|  5.11465 |   0.83354 |G|  5477| 0.018268 |SLS |14.4 |  0.000|81|4|95|27|22|11|0
140|IC 1542|  5.17197 |  22.59242 |G|  7365| 0.024567 |S1L |14.97|  0.000|27|0|44|12|10|6|0
141|IC 1543|  5.23099 |  21.86597 |G|  5596| 0.018666 |S1L |13.8V|  0.000|48|0|45|14|17|7|0
142|NGC 0079|  5.26195 |  22.56653 |G|  5485| 0.018296 |UUN |14.9 |  0.000|32|0|36|12|11|3|0
143|NGC 0080|  5.29507 |  22.35714 |G|  5646| 0.018834 |SLS |13.1 |  0.000|113|3|60|19|13|7|0
144|NGC 0081|  5.30537 |  22.38289 |G|  6130| 0.020447 |UUN |16.37|  0.000|8|0|35|6|2|2|0
145|NGC 0087|  5.30922 | -48.62856 |G|  3415| 0.011391 |UUN |14.67|  0.000|32|2|45|9|6|17|0
146|IC 1544|  5.32295 |  23.09115 |G|  5714| 0.019060 |S1L |14.42|  0.000|42|0|49|14|12|7|0
147|IC 1545|  5.33713 |  21.98345 |G|  5638| 0.018806 |UUN |16.67|  0.000|9|0|35|8|5|2|0
148|NGC 0088|  5.34193 | -48.64034 |G|  3383| 0.011284 |SUN |14.98|  0.000|35|2|44|10|10|16|0
149|NGC 0092 GROUP|  5.34194 | -48.64259 |GGroup|  3306| 0.011026 |S1L |12.8B|  0.000|11|1|1|1|2|0|1
150|NGC 0083|  5.34344 |  22.43361 |G|  6150| 0.020514 |SLS |13.58|  0.000|100|5|54|19|18|7|0
151|NGC 0089|  5.35150 | -48.66524 |G|  3287| 0.010964 |UUN |14.18|  0.000|36|2|64|14|9|17|0
152|NGC 0085|  5.35649 |  22.51173 |G|  6204| 0.020694 |SUN |15.7 |  0.000|33|0|33|12|10|4|0
153|NGC 0086|  5.36895 |  22.55648 |G|  5591| 0.018650 |SUN |14.9 |  0.000|27|0|34|9|9|3|0
154|NGC 0085B|  5.37095 |  22.50585 |G|  5820| 0.019413 |SLS |15.59|  0.000|49|0|52|20|15|6|0
155|NGC 0092|  5.38193 | -48.62467 |G|  3219| 0.010737 |S1L |13.81|  0.000|55|2|57|19|14|17|0
156|NGC 0090|  5.46410 |  22.39996 |G|  5353| 0.017856 |SUN |14.54|  0.000|70|3|61|17|10|8|0
157|IC 1548|  5.47991 |  22.00636 |G|  5746| 0.019167 |UUN |15.6 |  0.000|24|0|36|10|7|2|0
158|NGC 0093|  5.51350 |  22.40812 |G|  5380| 0.017946 |SUN |14.34|  0.000|62|2|53|17|13|7|0
159|NGC 0095|  5.55645 |  10.49167 |G|  5383| 0.017956 |S1L |13.19|  0.000|85|4|63|21|18|8|0
160|NGC 0094|  5.55658 |  22.48329 |G|  5910| 0.019714 |SUN |15.6 |  0.000|16|0|37|9|5|2|0
161|NGC 0096|  5.57387 |  22.54630 |G|  6185| 0.020631 |UUN |17   |  0.000|14|0|35|8|4|4|0
162|NGC 0097|  5.62513 |  29.74532 |G|  4766| 0.015898 |SUN |13.29|  0.000|58|0|39|14|14|6|0
163|NGC 0098|  5.70658 | -45.26901 |G|  6175| 0.020599 |S1L |13.41|  0.000|32|2|51|13|12|17|0
164|IC 1549|  5.70771 |   6.96434 |G| 12146| 0.040515 |S1L |14.64|  0.000|36|0|34|14|10|7|0
165|NGC 0101|  5.97761 | -32.53610 |G|  3383| 0.011284 |SUN |13.46|  0.000|47|1|57|17|13|19|0
